expCt,method,qNum,query,numIntsNds,numEvNds,result,err,rej_gibbs_dif,sampleCt,overallCt,time,fixed_num,delta,intvl,burn,kp,max_its
1,reject_fixed,0,p(x9=T|x2=F;x3=F;x5=F;x6=F;x7=F;x8=F),1,6,0.278846153846,0.0210588461538,,832,25001,17.3973113852,1000,na,na,na,na,25000
2,gibbs,0,p(x9=T|x2=F;x3=F;x5=F;x6=F;x7=F;x8=F),1,6,0.272,0.027905,0.00684615384615,1000,2998,19.3906977863,[1000],0.0001,100,1000,3,25000
3,reject_fixed,1,p(x6=T|x0=F;x1=F;x2=F),1,3,0.418,0.02277,,1000,1912,2.9502299082,1000,na,na,na,na,25000
4,gibbs,1,p(x6=T|x0=F;x1=F;x2=F),1,3,0.376,0.01923,0.042,1000,2998,27.8473439967,[1000],0.0001,100,1000,3,25000
5,reject_fixed,2,p(x3=F;x6=F;x7=F;x8=T|x0=F;x1=F;x2=F;x4=T),4,4,0.057,0.007212,,1000,3584,3.35921099709,1000,na,na,na,na,25000
6,gibbs,2,p(x3=F;x6=F;x7=F;x8=T|x0=F;x1=F;x2=F;x4=T),4,4,0.039,0.010788,0.018,1000,2998,25.0272152707,[1000],0.0001,100,1000,3,25000
7,reject_fixed,3,p(x0=F;x4=T;x7=F|x2=F;x3=T;x6=F;x8=F),3,4,0.145,0.015397,,1000,8753,5.92473456954,1000,na,na,na,na,25000
8,gibbs,3,p(x0=F;x4=T;x7=F|x2=F;x3=T;x6=F;x8=F),3,4,0.148,0.018397,0.003,1000,2998,25.1586580708,[1000],0.0001,100,1000,3,25000
9,reject_fixed,4,p(x0=T;x8=T|x4=F;x5=T;x6=T),2,3,0.69,0.01044,,1000,11314,8.96778914058,1000,na,na,na,na,25000
10,gibbs,4,p(x0=T;x8=T|x4=F;x5=T;x6=T),2,3,0.663,0.03744,0.027,1000,2998,27.8837028651,[1000],0.0001,100,1000,3,25000
1,reject_fixed,0,p(x9=T|x2=F;x3=F;x5=F;x6=F;x7=F;x8=F),1,6,0.282255495381,0.0176495046193,,3139,100001,69.647760744,5000,na,na,na,na,100000
2,gibbs,0,p(x9=T|x2=F;x3=F;x5=F;x6=F;x7=F;x8=F),1,6,0.3134,0.013495,0.0311445046193,5000,5000,37.2678146564,5000,0.0001,100,2000,1,100000
3,reject_fixed,1,p(x6=T|x0=F;x1=F;x2=F),1,3,0.3918,0.00343,,5000,9616,14.9370119118,5000,na,na,na,na,100000
4,gibbs,1,p(x6=T|x0=F;x1=F;x2=F),1,3,0.3992,0.00397,0.0074,5000,5000,53.625476653,5000,0.0001,100,2000,1,100000
5,reject_fixed,2,p(x3=F;x6=F;x7=F;x8=T|x0=F;x1=F;x2=F;x4=T),4,4,0.0518,0.002012,,5000,17890,16.9969678235,5000,na,na,na,na,100000
6,gibbs,2,p(x3=F;x6=F;x7=F;x8=T|x0=F;x1=F;x2=F;x4=T),4,4,0.0504,0.000612,0.0014,5000,5000,48.0208002072,5000,0.0001,100,2000,1,100000
7,reject_fixed,3,p(x0=F;x4=T;x7=F|x2=F;x3=T;x6=F;x8=F),3,4,0.122,0.007603,,5000,42718,29.8918116724,5000,na,na,na,na,100000
8,gibbs,3,p(x0=F;x4=T;x7=F|x2=F;x3=T;x6=F;x8=F),3,4,0.0884,0.041203,0.0336,5000,5000,48.0366802055,5000,0.0001,100,2000,1,100000
9,reject_fixed,4,p(x0=T;x8=T|x4=F;x5=T;x6=T),2,3,0.6992,0.00124,,5000,53525,43.7172619248,5000,na,na,na,na,100000
10,gibbs,4,p(x0=T;x8=T|x4=F;x5=T;x6=T),2,3,0.7,0.00044,0.0008,5000,5000,53.542899034,5000,0.0001,100,2000,1,100000
1,reject_fixed,0,p(x9=T|x2=F;x3=F;x5=F;x6=F;x7=F;x8=F),1,6,0.3105,0.010595,,2000,65143,46.8697112531,2000,na,na,na,na,100000
2,gibbs,0,p(x9=T|x2=F;x3=F;x5=F;x6=F;x7=F;x8=F),1,6,0.3055,0.005595,0.005,2000,5998,23.0254971081,2000,0.0001,100,500,3,100000
3,reject_fixed,1,p(x6=T|x0=F;x1=F;x2=F),1,3,0.376,0.01923,,2000,3809,5.87323145154,2000,na,na,na,na,100000
4,gibbs,1,p(x6=T|x0=F;x1=F;x2=F),1,3,0.354,0.04123,0.022,2000,5998,26.4129072054,2000,0.0001,100,500,3,100000
5,reject_fixed,2,p(x3=F;x6=F;x7=F;x8=T|x0=F;x1=F;x2=F;x4=T),4,4,0.0435,0.006288,,2000,7069,6.64642054179,2000,na,na,na,na,100000
6,gibbs,2,p(x3=F;x6=F;x7=F;x8=T|x0=F;x1=F;x2=F;x4=T),4,4,0.0475,0.002288,0.004,2000,5998,24.9507090827,2000,0.0001,100,500,3,100000
7,reject_fixed,3,p(x0=F;x4=T;x7=F|x2=F;x3=T;x6=F;x8=F),3,4,0.121,0.008603,,2000,16861,11.5674731827,2000,na,na,na,na,100000
8,gibbs,3,p(x0=F;x4=T;x7=F|x2=F;x3=T;x6=F;x8=F),3,4,0.1545,0.024897,0.0335,2000,5998,24.9719976657,2000,0.0001,100,500,3,100000
9,reject_fixed,4,p(x0=T;x8=T|x4=F;x5=T;x6=T),2,3,0.712,0.01156,,2000,21134,16.9581844171,2000,na,na,na,na,100000
10,gibbs,4,p(x0=T;x8=T|x4=F;x5=T;x6=T),2,3,0.729,0.02856,0.017,2000,5998,26.3136844661,2000,0.0001,100,500,3,100000
1,reject_fixed,0,p(x9=T|x2=F;x3=F;x5=F;x6=F;x7=F;x8=F),1,6,0.319,0.019095,,2000,63276,45.1876693611,2000,na,na,na,na,100000
2,gibbs,0,p(x9=T|x2=F;x3=F;x5=F;x6=F;x7=F;x8=F),1,6,0.2795,0.020405,0.0395,2000,5998,23.2126058988,2000,0.0001,100,500,3,100000
3,reject_fixed,1,p(x6=T|x0=F;x1=F;x2=F),1,3,0.4015,0.00627,,2000,3655,6.30220869712,2000,na,na,na,na,100000
4,gibbs,1,p(x6=T|x0=F;x1=F;x2=F),1,3,0.3175,0.07773,0.084,2000,5998,27.1885732102,2000,0.0001,100,500,3,100000
5,reject_fixed,2,p(x3=F;x6=F;x7=F;x8=T|x0=F;x1=F;x2=F;x4=T),4,4,0.0445,0.005288,,2000,7101,6.68761043751,2000,na,na,na,na,100000
6,gibbs,2,p(x3=F;x6=F;x7=F;x8=T|x0=F;x1=F;x2=F;x4=T),4,4,0.06,0.010212,0.0155,2000,5998,25.6951087751,2000,0.0001,100,500,3,100000
7,reject_fixed,3,p(x0=F;x4=T;x7=F|x2=F;x3=T;x6=F;x8=F),3,4,0.1155,0.014103,,2000,17328,12.1061905876,2000,na,na,na,na,100000
8,gibbs,3,p(x0=F;x4=T;x7=F|x2=F;x3=T;x6=F;x8=F),3,4,0.0955,0.034103,0.02,2000,5998,26.8781251183,2000,0.0001,100,500,3,100000
9,reject_fixed,4,p(x0=T;x8=T|x4=F;x5=T;x6=T),2,3,0.691,0.00944,,2000,20998,17.2240487555,2000,na,na,na,na,100000
10,gibbs,4,p(x0=T;x8=T|x4=F;x5=T;x6=T),2,3,0.627,0.07344,0.064,2000,5998,26.6328284778,2000,0.0001,100,500,3,100000
1,reject_fixed,0,p(x9=T|x2=F;x3=F;x5=F;x6=F;x7=F;x8=F),1,6,0.308666666667,0.00876166666667,,3000,95229,65.3537033216,3000,na,na,na,na,100000
2,gibbs,0,p(x9=T|x2=F;x3=F;x5=F;x6=F;x7=F;x8=F),1,6,0.302666666667,0.00276166666667,0.006,3000,14996,64.0914101426,3000,0.0001,100,2000,5,100000
3,reject_fixed,1,p(x6=T|x0=F;x1=F;x2=F),1,3,0.401666666667,0.00643666666667,,3000,5588,9.12320588259,3000,na,na,na,na,100000
4,gibbs,1,p(x6=T|x0=F;x1=F;x2=F),1,3,0.383666666667,0.0115633333333,0.018,3000,14996,81.1825785745,3000,0.0001,100,2000,5,100000
5,reject_fixed,2,p(x3=F;x6=F;x7=F;x8=T|x0=F;x1=F;x2=F;x4=T),4,4,0.0576666666667,0.00787866666667,,3000,10544,10.0882282683,3000,na,na,na,na,100000
6,gibbs,2,p(x3=F;x6=F;x7=F;x8=T|x0=F;x1=F;x2=F;x4=T),4,4,0.05,0.000212,0.00766666666667,3000,14996,75.2732979131,3000,0.0001,100,2000,5,100000
7,reject_fixed,3,p(x0=F;x4=T;x7=F|x2=F;x3=T;x6=F;x8=F),3,4,0.122,0.007603,,3000,25898,17.516178863,3000,na,na,na,na,100000
8,gibbs,3,p(x0=F;x4=T;x7=F|x2=F;x3=T;x6=F;x8=F),3,4,0.124,0.005603,0.002,3000,14996,75.582289725,3000,0.0001,100,2000,5,100000
9,reject_fixed,4,p(x0=T;x8=T|x4=F;x5=T;x6=T),2,3,0.710333333333,0.00989333333333,,3000,31374,25.4620052497,3000,na,na,na,na,100000
10,gibbs,4,p(x0=T;x8=T|x4=F;x5=T;x6=T),2,3,0.693666666667,0.00677333333333,0.0166666666667,3000,14996,80.7564356779,3000,0.0001,100,2000,5,100000
expCt,method,qNum,query,numIntsNds,numEvNds,result,err,rej_gibbs_dif,sampleCt,overallCt,time,fixed_num,delta,intvl,burn,kp,max_its
1,reject_fixed,0,p(x9=T|x2=F;x3=F;x5=F;x6=F;x7=F;x8=F),1,6,0.303,0.003095,,2000,64171,44.1175856684,2000,na,na,na,na,100000
2,gibbs,0,p(x9=T|x2=F;x3=F;x5=F;x6=F;x7=F;x8=F),1,6,0.3045,0.004595,0.0015,2000,3999,22.2361427798,2000,0.0001,100,1000,2,100000
3,reject_fixed,1,p(x6=T|x0=F;x1=F;x2=F),1,3,0.3935,0.00173,,2000,3847,5.81508465357,2000,na,na,na,na,100000
4,gibbs,1,p(x6=T|x0=F;x1=F;x2=F),1,3,0.348,0.04723,0.0455,2000,3999,30.2266697054,2000,0.0001,100,1000,2,100000
5,reject_fixed,2,p(x3=F;x6=F;x7=F;x8=T|x0=F;x1=F;x2=F;x4=T),4,4,0.0485,0.001288,,2000,7286,6.63434208883,2000,na,na,na,na,100000
6,gibbs,2,p(x3=F;x6=F;x7=F;x8=T|x0=F;x1=F;x2=F;x4=T),4,4,0.043,0.006788,0.0055,2000,3999,27.577833827,2000,0.0001,100,1000,2,100000
7,reject_fixed,3,p(x0=F;x4=T;x7=F|x2=F;x3=T;x6=F;x8=F),3,4,0.1245,0.005103,,2000,17067,11.6616943171,2000,na,na,na,na,100000
8,gibbs,3,p(x0=F;x4=T;x7=F|x2=F;x3=T;x6=F;x8=F),3,4,0.106,0.023603,0.0185,2000,3999,27.4865142816,2000,0.0001,100,1000,2,100000
9,reject_fixed,4,p(x0=T;x8=T|x4=F;x5=T;x6=T),2,3,0.7105,0.01006,,2000,20631,16.5563237054,2000,na,na,na,na,100000
10,gibbs,4,p(x0=T;x8=T|x4=F;x5=T;x6=T),2,3,0.6785,0.02194,0.032,2000,3999,30.355564458,2000,0.0001,100,1000,2,100000
